,0,1,2,3,4
0,b_car_003001.png,32936,Thirty Two Thousand Nine Hundred Thirty Six only,0,number_0.png
1,b_car_003002.png,135662,One Lakh Thirty Five Thousand Six Hundred Sixty Two only,1,number_1.png
2,b_car_003003.png,180000,One Lakh Eighty Thousand only,2,number_2.png
3,b_car_003004.png,764575,Seven Lakh Sixty Four Thousand Five Hundred Seventy Five only,3,number_3.png
4,b_car_003005.png,813000,Eight Lakh Thirteen Thousand only,4,number_4.png
5,b_car_003006.png,500000,Five Lakh only,5,number_5.png
6,b_car_003007.png,90000,Ninty Thousand only,6,number_6.png
7,b_car_003008.png,400000,Four Lakh only,7,number_7.png
8,b_car_003009.png,102569,One Lakh Two Thousand Five Hundred Sixty Nine only,8,number_8.png
9,b_car_003010.png,312428,Three Lakh Twelve Thousand Four Hundred Twenty Eight only,9,number_9.png
10,b_car_003012.png,30000,Thirty Thousand only,10,number_10.png
11,b_car_003014.png,154700,One Lakh Fifty Four Thousand Seven Hundred only,11,number_11.png
12,b_car_003016.png,297394,Two Lakh Ninty Seven Thousand Three Hundred Ninty Four only,12,number_12.png
13,b_car_003017.png,199418,One Lakh Ninty Nine Thousand Four Hundred Eighteen only,13,number_13.png
14,b_car_003018.png,17500,Seventeen Thousand Five Hundred only,14,number_14.png
15,b_car_003019.png,204294,Two Lakh Four Thousand Two Hundred Ninty Four only,15,number_15.png
16,b_car_003021.png,210667,Two Lakh Ten Thousand Six Hundred Sixty Seven only,16,number_16.png
17,b_car_003022.png,217500,Two Lakh Seventeen Thousand Five Hundred only,17,number_17.png
18,b_car_003023.png,212000,Two Lakh Twelve Thousand only,18,number_18.png
19,b_car_003024.png,200000,Two Lakh only,19,number_19.png
20,b_car_003026.png,120000,One Lakh Twenty Thousand only,20,number_20.png
21,b_car_003027.png,60000,Sixty Thousand only,21,number_21.png
22,b_car_003028.png,205000,Two Lakh Five Thousand only,22,number_22.png
23,b_car_003029.png,43000,Forty Three Thousand only,23,number_23.png
24,b_car_003030.png,22000,Twenty Two Thousand only,24,number_24.png
25,b_car_003031.png,103925,One Lakh Three Thousand Nine Hundred Twenty Five only,25,number_25.png
26,b_car_003032.png,250000,Two Lakh Fifty Thousand only,26,number_26.png
27,b_car_003033.png,42000,Forty Two Thousand only,27,number_27.png
28,b_car_003034.png,209063,Two Lakh Nine Thousand Sixty Three only,28,number_28.png
29,b_car_003035.png,205000,Two Lakh Five Thousand only,29,number_29.png
30,b_car_003036.png,20000,Twenty Thousand only,30,number_30.png
31,b_car_003037.png,178200,One Lakh Seventy Eight Thousand Two Hundred only,31,number_31.png
32,b_car_003038.png,500000,Five Lakh only,32,number_32.png
33,b_car_003039.png,64000,Sixty Four Thousand only,33,number_33.png
34,b_car_003040.png,50000,Fifty Thousand only,34,number_34.png
35,b_car_003041.png,70000,Seventy Thousand only,35,number_35.png
36,b_car_003042.png,70000,Seventy Thousand only,36,number_36.png
37,b_car_003043.png,25000,Twenty Five Thousand only,37,number_37.png
38,b_car_003044.png,153000,One Lakh Fifty Three Thousand only,38,number_38.png
39,b_car_003045.png,66000,Sixty Six Thousand only,39,number_39.png
40,b_car_003046.png,219511,Two Lakh Nineteen Thousand Five Hundred Eleven only,40,number_40.png
41,b_car_003047.png,114835,One Lakh Fourteen Thousand Eight Hundred Thirty Five only,41,number_41.png
42,b_car_003048.png,100000,One Lakh only,42,number_42.png
43,b_car_003050.png,174740,One Lakh Seventy Four Thousand Seven Hundred Forty only,43,number_43.png
44,b_car_003051.png,300000,Three Lakh only,44,number_44.png
45,b_car_003052.png,18309,Eighteen Thousand Three Hundred Nine only,45,number_45.png
46,b_car_003053.png,807940,Eight Lakh Seven Thousand Nine Hundred Forty only,46,number_46.png
